iter	Passed	Remaining
0	123	123657
1	126	63085
2	128	42675
3	130	32428
4	133	26485
5	135	22490
6	137	19545
7	139	17312
8	141	15605
9	145	14418
10	148	13355
11	151	12468
12	153	11646
13	155	10926
14	157	10319
15	160	9843
16	163	9455
17	166	9100
18	168	8707
19	170	8338
20	171	8015
21	173	7725
22	175	7449
23	177	7204
24	178	6974
25	180	6765
26	182	6571
27	184	6390
28	186	6231
29	187	6074
30	189	5924
31	191	5783
32	193	5659
33	195	5542
34	196	5425
35	198	5315
36	200	5211
37	202	5115
38	203	5023
39	205	4933
40	207	4856
41	209	4779
42	211	4701
43	212	4627
44	214	4558
45	216	4494
46	218	4429
47	220	4367
48	222	4317
49	224	4262
50	226	4208
51	228	4160
52	230	4121
53	232	4074
54	234	4027
55	236	3982
56	238	3938
57	240	3898
58	241	3858
59	243	3818
60	245	3780
61	247	3744
62	249	3708
63	251	3673
64	253	3643
65	255	3610
66	256	3577
67	258	3544
68	260	3514
69	262	3483
70	263	3454
71	265	3422
72	267	3393
73	269	3366
74	270	3337
75	272	3312
76	274	3285
77	275	3260
78	277	3236
79	279	3211
80	281	3189
81	282	3167
82	283	3136
83	285	3115
84	287	3094
85	289	3075
86	291	3055
87	293	3037
88	295	3020
89	297	3003
90	299	2987
91	301	2971
92	303	2955
93	304	2939
94	306	2922
95	308	2906
96	310	2891
97	312	2876
98	314	2863
99	316	2849
100	318	2835
101	320	2821
102	322	2808
103	324	2794
104	326	2780
105	328	2767
106	330	2754
107	331	2740
108	333	2726
109	335	2715
110	337	2701
111	339	2688
112	340	2676
113	342	2664
114	344	2652
115	346	2642
116	348	2627
117	350	2616
118	351	2604
119	353	2593
120	355	2583
121	357	2570
122	359	2561
123	361	2551
124	362	2540
125	364	2530
126	366	2518
127	368	2508
128	370	2499
129	372	2490
130	374	2481
131	376	2474
132	378	2464
133	380	2456
134	382	2447
135	384	2439
136	385	2429
137	387	2421
138	390	2415
139	392	2408
140	394	2400
141	395	2391
142	397	2381
143	399	2373
144	401	2364
145	402	2356
146	404	2347
147	406	2340
148	408	2332
149	410	2324
150	412	2317
151	414	2310
152	416	2303
153	417	2295
154	419	2288
155	421	2280
156	423	2273
157	425	2265
158	426	2258
159	428	2250
160	429	2239
161	431	2232
162	433	2224
163	435	2218
164	436	2210
165	438	2203
166	440	2197
167	442	2190
168	443	2182
169	445	2176
170	447	2168
171	449	2162
172	450	2154
173	452	2150
174	454	2144
175	456	2138
176	458	2132
177	460	2125
178	462	2119
179	463	2112
180	465	2106
181	467	2100
182	469	2094
183	470	2087
184	472	2082
185	474	2075
186	475	2068
187	477	2062
188	479	2056
189	481	2051
190	483	2047
191	485	2043
192	487	2038
193	489	2034
194	491	2029
195	493	2024
196	495	2019
197	497	2014
198	499	2009
199	500	2003
200	503	1999
201	505	1996
202	507	1991
203	509	1986
204	511	1982
205	513	1977
206	514	1972
207	516	1967
208	518	1962
209	520	1957
210	522	1952
211	524	1947
212	525	1943
213	527	1938
214	529	1933
215	531	1928
216	533	1924
217	535	1920
218	537	1916
219	539	1913
220	542	1910
221	544	1906
222	546	1905
223	549	1901
224	551	1898
225	553	1895
226	555	1891
227	557	1886
228	559	1884
229	561	1880
230	563	1876
231	565	1871
232	567	1867
233	569	1863
234	571	1859
235	573	1855
236	574	1850
237	576	1845
238	578	1840
239	579	1835
240	582	1834
241	585	1833
242	587	1829
243	589	1825
244	590	1820
245	592	1815
246	594	1812
247	596	1808
248	598	1804
249	600	1802
250	602	1798
251	604	1793
252	606	1789
253	608	1786
254	609	1781
255	611	1777
256	613	1774
257	616	1772
258	618	1768
259	620	1764
260	621	1760
261	623	1756
262	625	1752
263	627	1748
264	629	1745
265	631	1742
266	633	1738
267	635	1734
268	637	1732
269	639	1728
270	640	1724
271	642	1719
272	644	1716
273	646	1713
274	648	1709
275	650	1705
276	652	1702
277	654	1698
278	655	1694
279	657	1690
280	659	1687
281	661	1684
282	663	1680
283	665	1676
284	667	1673
285	669	1670
286	671	1667
287	672	1663
288	674	1660
289	676	1656
290	678	1653
291	680	1649
292	682	1646
293	684	1642
294	685	1639
295	688	1636
296	690	1633
297	691	1630
298	693	1626
299	695	1623
300	697	1620
301	699	1617
302	701	1613
303	703	1610
304	705	1607
305	707	1603
306	708	1600
307	711	1597
308	712	1594
309	714	1591
310	716	1587
311	718	1584
312	720	1580
313	722	1577
314	723	1573
315	725	1570
316	727	1567
317	729	1565
318	731	1561
319	733	1558
320	735	1555
321	737	1551
322	738	1548
323	740	1545
324	742	1542
325	744	1539
326	746	1536
327	748	1533
328	750	1530
329	752	1527
330	754	1524
331	755	1520
332	757	1517
333	759	1514
334	761	1510
335	762	1507
336	764	1504
337	766	1500
338	768	1498
339	770	1496
340	772	1493
341	774	1490
342	776	1487
343	778	1484
344	780	1481
345	782	1478
346	784	1476
347	786	1472
348	787	1469
349	789	1466
350	791	1463
351	793	1460
352	794	1457
353	796	1453
354	798	1450
355	800	1448
356	802	1445
357	804	1442
358	806	1439
359	807	1436
360	809	1433
361	811	1430
362	813	1427
363	815	1424
364	817	1421
365	819	1418
366	820	1415
367	822	1412
368	824	1409
369	826	1406
370	828	1403
371	830	1401
372	831	1398
373	833	1395
374	835	1393
375	837	1390
376	839	1387
377	841	1384
378	843	1381
379	846	1380
380	848	1378
381	850	1375
382	852	1372
383	854	1370
384	856	1368
385	859	1366
386	861	1364
387	863	1361
388	865	1358
389	867	1356
390	869	1353
391	871	1352
392	873	1349
393	878	1350
394	880	1349
395	882	1346
396	884	1343
397	887	1341
398	891	1342
399	893	1340
400	896	1338
401	897	1335
402	899	1332
403	902	1331
404	905	1329
405	907	1327
406	909	1325
407	912	1323
408	916	1324
409	920	1324
410	922	1322
411	924	1319
412	927	1318
413	929	1315
414	931	1312
415	933	1310
416	936	1308
417	938	1306
418	941	1305
419	944	1304
420	947	1303
421	950	1301
422	952	1299
423	954	1297
424	956	1294
425	958	1291
426	961	1289
427	963	1287
428	965	1285
429	967	1282
430	969	1280
431	972	1278
432	974	1276
433	979	1276
434	982	1276
435	986	1276
436	989	1274
437	991	1272
438	994	1271
439	997	1269
440	1000	1268
441	1003	1266
442	1006	1265
443	1009	1264
444	1012	1262
445	1014	1259
446	1017	1258
447	1019	1255
448	1022	1255
449	1025	1253
450	1029	1253
451	1031	1250
452	1034	1248
453	1036	1247
454	1040	1246
455	1043	1244
456	1044	1241
457	1047	1239
458	1049	1237
459	1051	1234
460	1055	1234
461	1058	1232
462	1061	1231
463	1063	1228
464	1065	1225
465	1068	1224
466	1071	1222
467	1074	1221
468	1076	1218
469	1078	1216
470	1080	1213
471	1083	1211
472	1085	1209
473	1087	1206
474	1089	1204
475	1091	1201
476	1094	1199
477	1095	1196
478	1099	1195
479	1101	1193
480	1103	1191
481	1106	1188
482	1108	1186
483	1111	1184
484	1113	1182
485	1116	1180
486	1118	1177
487	1120	1175
488	1122	1173
489	1124	1170
490	1126	1168
491	1129	1166
492	1132	1164
493	1134	1162
494	1136	1159
495	1138	1156
496	1142	1156
497	1144	1153
498	1146	1151
499	1149	1149
500	1152	1147
501	1154	1145
502	1157	1143
503	1160	1141
504	1162	1139
505	1164	1137
506	1166	1134
507	1168	1131
508	1170	1129
509	1173	1127
510	1175	1124
511	1177	1122
512	1179	1119
513	1181	1117
514	1183	1114
515	1186	1112
516	1188	1110
517	1190	1107
518	1191	1104
519	1193	1101
520	1195	1098
521	1198	1097
522	1200	1094
523	1202	1092
524	1205	1090
525	1207	1087
526	1209	1085
527	1210	1082
528	1213	1080
529	1215	1077
530	1217	1075
531	1219	1072
532	1221	1070
533	1223	1067
534	1225	1065
535	1227	1062
536	1229	1059
537	1232	1057
538	1234	1055
539	1236	1053
540	1238	1050
541	1239	1047
542	1242	1045
543	1244	1043
544	1246	1040
545	1249	1039
546	1251	1036
547	1253	1033
548	1255	1031
549	1257	1028
550	1259	1026
551	1261	1024
552	1264	1021
553	1267	1020
554	1269	1017
555	1271	1015
556	1273	1012
557	1275	1010
558	1277	1007
559	1280	1006
560	1282	1003
561	1285	1001
562	1287	999
563	1289	996
564	1291	994
565	1294	992
566	1296	990
567	1299	988
568	1301	985
569	1302	982
570	1306	981
571	1309	980
572	1312	978
573	1314	975
574	1316	972
575	1318	970
576	1320	968
577	1323	966
578	1325	963
579	1327	961
580	1329	959
581	1332	957
582	1335	955
583	1340	954
584	1342	952
585	1344	949
586	1346	947
587	1348	944
588	1350	942
589	1353	940
590	1356	938
591	1358	936
592	1360	933
593	1363	931
594	1365	929
595	1367	927
596	1370	925
597	1372	922
598	1374	920
599	1376	917
600	1378	914
601	1380	912
602	1382	910
603	1385	908
604	1387	905
605	1389	903
606	1392	901
607	1394	898
608	1396	896
609	1399	895
610	1402	892
611	1404	890
612	1406	887
613	1408	885
614	1410	883
615	1413	880
616	1415	878
617	1417	876
618	1419	873
619	1421	871
620	1424	869
621	1427	867
622	1432	866
623	1434	864
624	1436	861
625	1438	859
626	1441	857
627	1445	856
628	1447	854
629	1450	851
630	1451	848
631	1453	846
632	1455	843
633	1458	842
634	1460	839
635	1462	837
636	1465	834
637	1466	832
638	1468	829
639	1470	827
640	1473	825
641	1475	822
642	1478	821
643	1481	818
644	1483	816
645	1485	813
646	1488	812
647	1491	810
648	1493	807
649	1495	805
650	1497	802
651	1499	800
652	1501	797
653	1503	795
654	1506	793
655	1508	790
656	1510	788
657	1514	787
658	1517	784
659	1520	783
660	1523	781
661	1525	778
662	1527	776
663	1529	774
664	1532	772
665	1535	769
666	1537	767
667	1539	765
668	1542	763
